epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr,throughput
1,2.5243064847025245,5.744016649323621,25.15707778930664,2.9175736904144287,37.08586287498474,65.16051435470581,283,276,223.24323950521452
2,12.282579609312283,14.110301768990634,22.98007845878601,2.8157477378845215,34.85546112060547,60.651287317276,1377,678,241.92740571907245
3,25.93881009722594,24.516129032258064,22.87803030014038,2.8344459533691406,33.869447231292725,59.581923484802246,2908,1178,246.98697929227637
4,39.69315850503969,36.774193548387096,23.08394742012024,2.8410778045654297,34.284263134002686,60.209288358688354,4450,1767,244.08239026211473
5,49.97770047274997,40.83246618106139,22.931222677230835,2.8417961597442627,33.67753291130066,59.45055174827576,5603,1962,247.53208742808457
6,60.16412452056016,45.39021852237253,22.963847637176514,2.8144848346710205,33.58332896232605,59.361661434173584,6745,2181,247.54121297470388
7,76.75497279457674,65.72320499479709,23.024576902389526,2.8357460498809814,33.74551033973694,59.605833292007446,8605,3158,246.6696373472299
8,81.63410935688164,67.84599375650365,23.019179821014404,2.8299472332000732,33.72828030586243,59.577407360076904,9152,3260,246.9246359220618
9,83.46267059138346,68.7200832466181,23.789685010910034,2.9601848125457764,34.00898718833923,60.758857011795044,9357,3302,242.40984951964668
10,85.4071893675854,69.03225806451613,23.40846562385559,2.8345649242401123,33.924073934555054,60.16710448265076,9575,3317,243.5212331160138
