epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr,throughput
1,2.7027027027027026,5.057232049947971,25.385841608047485,2.9209072589874268,7.117004632949829,35.42375349998474,303,243,410.33463788000444
2,11.890107929711888,16.607700312174817,23.41539168357849,2.916861057281494,5.943998098373413,32.2762508392334,1333,798,455.18177579346565
3,25.706895013825708,25.681581685744018,23.554535388946533,3.051626205444336,5.94196891784668,32.54813051223755,2882,1234,454.1493370112124
4,38.542502898938544,27.471383975026015,23.533548593521118,2.9360923767089844,5.920085191726685,32.38972616195679,4321,1320,452.6021270470395
5,49.8974221746499,38.73048907388137,23.88062834739685,3.030658721923828,5.9145097732543945,32.82579684257507,5594,1861,447.8540435034149
6,60.12844527696013,36.46201873048907,23.533522605895996,2.9522929191589355,5.865255117416382,32.35107064247131,6741,1752,452.65621836311317
7,76.7103737400767,66.40998959417274,23.561755418777466,2.938338041305542,5.783637046813965,32.28373050689697,8600,3191,454.7822233497182
8,82.28525555258229,68.26222684703434,24.016010999679565,2.9446096420288086,6.2582128047943115,33.218833446502686,9225,3280,440.3512684097603
9,83.6053875657836,68.6576482830385,23.82470941543579,3.0000553131103516,6.353411674499512,33.178176403045654,9373,3299,442.9248928449726
10,85.07715636428507,69.17793964620188,23.66015338897705,2.9486794471740723,5.986440658569336,32.59527349472046,9538,3324,449.65430023381435
