epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr,throughput
1,2.5243064847025245,5.744016649323621,49.14964699745178,6.0412256717681885,11.660274028778076,66.85114669799805,283,276,218.39635072023222
2,12.282579609312283,14.110301768990634,43.43026113510132,6.17499852180481,14.180291891098022,63.78555154800415,1377,678,228.43580676020105
3,25.93881009722594,24.516129032258064,44.1138174533844,6.058026313781738,13.288325309753418,63.460169076919556,2908,1178,230.18482325383377
4,39.69315850503969,36.774193548387096,49.197688579559326,5.649667024612427,9.827078580856323,64.67443418502808,4450,1767,225.34452521954793
5,49.97770047274997,40.83246618106139,46.734890937805176,6.258869886398315,11.812654733657837,64.80641555786133,5603,1962,225.22773352761283
6,60.16412452056016,45.39021852237253,43.653055906295776,6.173874378204346,14.854323387145996,64.68125367164612,6745,2181,226.61411863638455
7,76.75497279457674,65.72320499479709,47.095701932907104,4.588443756103516,16.691168069839478,68.3753137588501,8605,3158,211.98011325260117
8,81.63410935688164,67.84599375650365,49.61131000518799,6.060203313827515,10.510411739349365,66.18192505836487,9152,3260,219.58955220294533
9,83.46267059138346,68.7200832466181,44.538491010665894,6.150458812713623,15.406097412109375,66.09504723548889,9357,3302,224.21622591363203
10,85.4071893675854,69.03225806451613,44.19102382659912,6.082549333572388,17.138600826263428,67.41217398643494,9575,3317,217.520525633679
