gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 22794, 605
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 22795, 605
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 22794, 3373 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 22795, 3191 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 22796, 725 MiB
