gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 545
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 603
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94584, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94581, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94582, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 94583, 1187 MiB
