epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,3.0327357060030327,8.491155046826222,46.7800076007843,13.69814944267273,6.780974864959717,67.25913190841675,340,408
2,13.593791811613592,11.925078043704474,46.0016872882843,12.94053316116333,6.633191823959351,65.57541227340698,1524,573
3,28.026045847828023,25.70239334027055,45.15325927734375,12.705179214477539,6.679867744445801,64.53830623626709,3142,1235
4,40.36214432254036,35.587929240374606,45.60111737251282,12.934292554855347,6.761416912078857,65.29682683944702,4525,1710
5,51.35135135135135,40.749219562955254,45.69834804534912,12.900638818740845,6.630272150039673,65.22925901412964,5757,1958
6,61.386138613861384,47.61706555671176,45.568365812301636,12.834750890731812,6.630630016326904,65.03374671936035,6882,2288
7,77.7004727499777,67.11758584807492,45.34360384941101,12.66693377494812,6.659270763397217,64.66980838775635,8711,3225
8,82.65096779948266,69.21956295525494,45.96143341064453,13.518237829208374,6.84588098526001,66.32555222511292,9266,3326
9,83.92650075818393,69.843912591051,45.54024910926819,13.3294517993927,6.598271369934082,65.46797227859497,9409,3356
10,85.5142270983855,70.61394380853278,45.92392349243164,13.096783638000488,6.723966598510742,65.74467372894287,9587,3393
