epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,2.9702970297029703,6.0978147762747135,49.777854681015015,10.040972232818604,6.842068433761597,66.66089534759521,333,293
2,13.442155026313443,14.276795005202914,49.2040798664093,9.716267347335815,7.148682117462158,66.06902933120728,1507,686
3,28.106324145928106,26.347554630593134,49.51492714881897,9.60585641860962,6.925518751144409,66.046302318573,3151,1266
4,40.04995094104005,31.633714880332988,48.617806911468506,9.370518445968628,6.886316776275635,64.87464213371277,4490,1520
5,50.941040049950935,29.177939646201875,48.63406181335449,9.270400762557983,6.866443634033203,64.77090620994568,5711,1402
6,61.03826598876104,47.51300728407909,48.67024207115173,9.35215449333191,6.873515844345093,64.89591240882874,6843,2283
7,77.22772277227723,67.01352757544225,48.659974813461304,9.18562126159668,6.909322261810303,64.75491833686829,8658,3220
8,82.21389706538221,69.34443288241415,48.74034237861633,9.208036661148071,6.909246444702148,64.85762548446655,9217,3332
9,83.92650075818393,69.98959417273673,49.37810969352722,9.452372789382935,7.07233738899231,65.90281987190247,9409,3363
10,85.7907412362858,70.3850156087409,49.422954082489014,9.811784267425537,7.143003940582275,66.37774229049683,9618,3382
