epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,2.765141379002765,6.72216441207076,40.919838428497314,24.70335340499878,5.253140926361084,70.87633275985718,310,323
2,12.987244670412986,12.112382934443287,39.298062801361084,23.914233446121216,5.2288596630096436,68.44115591049194,1456,582
3,27.321380786727325,26.389177939646203,39.3219268321991,23.75401782989502,5.299626350402832,68.37557101249695,3063,1268
4,40.04995094104005,25.18210197710718,39.32865357398987,23.817910194396973,5.231462240219116,68.37802600860596,4490,1210
5,51.3959504058514,39.334027055150884,39.35193490982056,23.82124900817871,5.245147705078125,68.41833162307739,5762,1890
6,60.86878958166086,46.13943808532778,39.3583505153656,23.882805347442627,5.287571668624878,68.5287275314331,6824,2217
7,76.98688787797698,66.22268470343393,39.36738991737366,23.812249898910522,5.221613168716431,68.40125298500061,8631,3182
8,82.57068950138256,68.7200832466181,39.357672929763794,23.95060420036316,5.2787864208221436,68.5870635509491,9257,3302
9,83.81054321648381,69.51092611862643,39.34481406211853,23.848496913909912,5.2886152267456055,68.48192620277405,9396,3340
10,85.60342520738561,69.65660770031218,39.342044830322266,23.835388660430908,5.315722942352295,68.49315643310547,9597,3347
