gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 539
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 607
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69992, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69989, 2339 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69990, 2919 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69991, 621 MiB
