epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,3.2468111676032465,6.992715920915713,49.52677845954895,6.923956632614136,6.604612350463867,63.05534744262695,364,336
2,14.574971010614576,17.00312174817898,47.73447132110596,6.11482834815979,6.6110920906066895,60.46039175987244,1634,817
3,28.918026937828916,25.265348595213318,47.949779748916626,6.186883449554443,6.62295126914978,60.75961446762085,3242,1214
4,41.66443671394167,30.260145681581687,48.17766237258911,6.894208908081055,6.950932025909424,62.02280330657959,4671,1454
5,52.475247524752476,37.68990634755463,49.954407691955566,7.084158897399902,6.888222932815552,63.92678952217102,5883,1811
6,61.787530104361785,51.94588969823101,48.46846103668213,6.967294931411743,6.679357528686523,62.115113496780396,6927,2496
7,79.68067076977968,70.30176899063476,49.25103974342346,7.6361002922058105,6.961520433425903,63.848660469055176,8933,3378
8,85.13959504058514,72.48699271592092,49.962153911590576,7.55177903175354,6.857499122619629,64.37143206596375,9545,3483
9,87.28926946748729,73.54838709677419,50.957539319992065,7.287548780441284,6.754163980484009,64.99925208091736,9786,3534
10,88.48452412808848,74.31841831425598,49.8570613861084,6.804957866668701,6.695528268814087,63.35754752159119,9920,3571
