epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,2.9881366515029884,7.263267429760666,57.19720768928528,9.662753820419312,8.656054496765137,75.51601600646973,335,349
2,13.228079564713227,14.068678459937566,56.28273940086365,9.457041263580322,8.688040018081665,74.42782068252563,1483,676
3,27.018107216127017,27.013527575442247,57.19558072090149,9.502102613449097,8.839448928833008,75.5371322631836,3029,1298
4,39.92507358843992,24.28720083246618,56.96824502944946,9.515744924545288,8.675520420074463,75.15951037406921,4476,1167
5,50.78940326465079,35.67117585848075,57.16060972213745,9.577290534973145,8.556094408035278,75.29399466514587,5694,1714
6,60.511997145660516,49.344432882414154,56.90313959121704,9.41676926612854,8.747424840927124,75.0673336982727,6784,2371
7,77.36151993577735,66.97190426638917,56.59594440460205,9.41644287109375,8.662236452102661,74.67462372779846,8673,3218
8,82.37445366158236,69.05306971904267,56.96423363685608,9.307454586029053,8.527324914932251,74.79901313781738,9235,3318
9,84.3011328159843,69.46930280957336,57.2565643787384,9.312304496765137,8.687292337417603,75.25616121292114,9451,3338
10,85.3982695566854,70.82206035379812,56.74933695793152,9.41944432258606,8.645512104034424,74.814293384552,9574,3403
