epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,3.113014004103113,6.243496357960458,47.89369797706604,12.559385538101196,6.03577995300293,66.48886346817017,349,300
2,13.406475782713406,11.404786680541102,47.284788370132446,12.436902046203613,6.346529483795166,66.06821990013123,1503,548
3,27.51761662652752,25.78563995837669,47.64187026023865,12.269716024398804,6.1334004402160645,66.04498672485352,3085,1239
4,40.451342431540446,30.84287200832466,46.74795150756836,12.054551839828491,6.071424722671509,64.87392807006836,4535,1482
5,51.511907947551514,41.810613943808534,46.7487690448761,11.959098100662231,6.062102317810059,64.76996946334839,5775,2009
6,60.53875657836054,43.99583766909469,46.79540657997131,12.035614013671875,6.064042329788208,64.8950629234314,6787,2114
7,78.54785478547855,70.3225806451613,46.7859902381897,11.88505220413208,6.082946300506592,64.75398874282837,8806,3379
8,84.4081705467844,72.86160249739854,46.86381483078003,11.888656854629517,6.104141473770142,64.85661315917969,9463,3501
9,86.70948175898671,73.96462018730489,47.46114468574524,12.16718053817749,6.273485422134399,65.90181064605713,9721,3554
10,88.46668450628846,75.0468262226847,47.53331995010376,12.493965148925781,6.349610328674316,66.37689542770386,9918,3606
