gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 545
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 447
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65868, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65865, 2345 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65866, 2915 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 65867, 617 MiB
