gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 605
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 647
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61135, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61137, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 61141, 661 MiB
