epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,3.0327357060030327,6.0978147762747135,53.100422620773315,7.279034376144409,6.919682502746582,67.2991394996643,340,293
2,13.897065382213897,9.76066597294485,51.82294034957886,6.609646558761597,6.941911220550537,65.37449812889099,1558,469
3,27.803050575327802,16.649323621227886,51.98973798751831,6.603006839752197,6.944024085998535,65.53676891326904,3117,800
4,41.013290518241014,27.950052029136316,52.04905819892883,6.51511025428772,6.963261365890503,65.52742981910706,4598,1343
5,51.21755418785122,43.28824141519251,52.16440010070801,6.635502338409424,6.944826126098633,65.74472856521606,5742,2080
6,61.270181072161265,41.29032258064516,51.82363247871399,6.713782072067261,6.9575934410095215,65.49500799179077,6869,1984
7,79.44875568637944,69.46930280957336,51.992000579833984,7.0921101570129395,6.9685564041137695,66.0526671409607,8907,3338
8,85.17527428418518,72.00832466181062,52.87427592277527,6.851587295532227,7.045423984527588,66.77128720283508,9549,3460
9,86.93247703148693,73.63163371488034,52.95529222488403,6.758293390274048,6.991637468338013,66.7052230834961,9746,3538
10,88.93051467308894,73.63163371488034,52.602550745010376,7.229824542999268,6.992332935333252,66.8247082233429,9970,3538
