gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 531
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 495
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69448, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69445, 2331 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69446, 2929 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 69447, 631 MiB
