epoch,train_acc,valid_acc,train_time,valid_time,total_time,train_corr,valid_corr,throughput
1,3.38952814200339,6.035379812695109,77.76920175552368,15.237798929214478,93.00700068473816,380,290,144.15732381107694
2,13.86138613861386,17.065556711758585,77.3715124130249,15.277217149734497,92.6487295627594,1554,820,144.89829202450377
3,27.11622513602712,20.0,72.8029465675354,15.545663595199585,88.34861016273499,3040,961,153.99101998708466
4,39.93399339933993,35.608740894901146,77.29065990447998,15.473130226135254,92.76379013061523,4477,1711,145.049867782927
5,50.82508250825083,41.01977107180021,76.94527292251587,15.153177499771118,92.09845042228699,5698,1971,145.70095828095265
6,60.54767638926055,44.745057232049945,76.79167056083679,15.497368812561035,92.28903937339783,6788,2150,145.99239628623903
7,78.85112835607885,70.8012486992716,77.188547372818,15.31593656539917,92.50448393821716,8840,3402,145.24175388158636
8,84.47952903398448,73.17377731529656,47.58580660820007,14.176886320114136,61.76269292831421,9471,3516,235.5954600561105
9,86.3170100793863,73.94380853277836,45.38476777076721,14.098175048828125,59.48294281959534,9677,3553,247.0212044848474
10,88.19017036838818,74.88033298647242,45.426717042922974,14.11998200416565,59.54669904708862,9887,3598,246.79309291505496
