epoch,train_acc,valid_acc,train_time,valid_time,total_time,train_corr,valid_corr,throughput
1,3.086254571403086,6.514047866805411,70.1721351146698,14.82096242904663,84.99309754371643,346,313,159.76427084169325
2,13.549192757113548,16.39958376690947,68.31181955337524,16.41304302215576,84.724862575531,1519,788,164.11508393859012
3,26.732673267326735,24.765868886576484,69.61815309524536,15.892090320587158,85.51024341583252,2997,1190,161.03558485187202
4,39.826955668539824,37.585848074921955,69.84874749183655,16.226413249969482,86.07516074180603,4465,1806,160.50395178969052
5,50.7983230755508,43.39229968782518,71.17301535606384,17.66608715057373,88.83910250663757,5695,2085,157.51756398002377
6,61.18098296316118,51.342351716961495,72.57693147659302,17.501365661621094,90.07829713821411,6859,2467,154.47057035768577
7,79.27927927927928,70.34339229968782,70.36283087730408,17.04302430152893,87.40585517883301,8888,3380,159.33128130602503
8,84.58656676478459,73.00728407908429,70.82391905784607,19.95891547203064,90.78283452987671,9483,3508,158.29397962068882
9,86.51324591918652,73.98543184183143,65.08264493942261,14.457065343856812,79.53971028327942,9699,3555,172.25790393790749
10,88.48452412808848,74.0270551508845,62.88751554489136,14.69150424003601,77.57901978492737,9920,3557,178.27067746057145
