epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr,throughput
1,3.7730800107037727,8.1789802289282,44.82190275192261,5.48421573638916,3.7359862327575684,54.042104721069336,423,393,247.4182199941333
2,14.878244581214878,10.738813735691988,44.19943308830261,5.666974306106567,3.095362424850464,52.961769819259644,1668,516,250.9144334700194
3,29.007225046829006,29.864724245577523,43.96167063713074,5.263174295425415,3.059236526489258,52.28408145904541,3252,1435,252.31451565921807
4,41.77147444474177,32.94484911550468,42.31436800956726,5.257367849349976,2.9975697994232178,50.569305658340454,4683,1583,262.12422845413556
5,52.359289983052356,14.77627471383975,42.32871961593628,5.264333486557007,3.0077502727508545,50.60080337524414,5870,710,262.0831678223827
6,61.30586031576131,25.9105098855359,42.54643130302429,5.372214317321777,2.9875693321228027,50.90621495246887,6873,1245,260.6117018147852
7,79.24360003567924,70.42663891779397,42.34354853630066,5.264653921127319,3.0519297122955322,50.66013216972351,8884,3384,262.005337688891
8,85.26447239318526,72.94484911550468,42.372740507125854,5.269061326980591,3.003715991973877,50.64551782608032,9559,3505,261.8189682503464
9,87.01275532958701,74.40166493236212,42.40678668022156,5.271929502487183,3.0909719467163086,50.76968812942505,9755,3575,261.25651783098596
10,88.71643921148872,74.44328824141519,42.40706968307495,5.27276086807251,3.045893669128418,50.72572422027588,9946,3577,261.2270417630514
